feature,id,X,Y
A,1,485637.5938,3148547.861
A,2,485412.5938,3148422.12
A,3,485397.5938,3148119.713
A,4,485052.5938,3147618.417
A,5,485427.5938,3147707.861
B,6,470592.5938,3145193.602
B,7,470697.5938,3159184.713
B,8,470772.5938,3158952.213
B,9,470907.5938,3158901.565
B,10,470817.5938,3158548.972
B,11,470787.5938,3158396.935
B,12,470967.5938,3158284.713
B,13,470367.5938,3157948.972
B,14,470832.5938,3157948.972
B,15,470487.5938,3155665.269
B,16,470457.5938,3155464.713
B,17,471732.5938,3146009.898
B,18,469827.5938,3155245.269
B,19,469947.5938,3155057.676
B,20,470172.5938,3155110.269
B,21,469557.5938,3155198.417
B,22,470247.5938,3154811.843
B,23,470142.5938,3155181.565
B,24,469812.5938,3154867.769
B,25,469422.5938,3154879.62
B,26,468522.5938,3154952.491
B,27,470562.5938,3154885.269
B,28,468912.5938,3154628.046
B,29,469182.5938,3154922.861
B,30,468372.5938,3154842.028
B,31,468642.5938,3154722.12
B,32,471042.5938,3154395.454
B,33,470202.5938,3154540.269
B,34,469347.5938,3154564.713
B,35,468732.5938,3154433.509
B,36,469977.5938,3154378.972
B,37,470277.5938,3154431.565
B,38,468507.5938,3154105.083
B,39,470172.5938,3154354.713
B,40,469182.5938,3154307.861
B,41,469722.5938,3154067.676
B,42,468402.5938,3154247.861
B,43,470337.5938,3154202.861
B,44,469272.5938,3153938.046
B,45,470022.5938,3154127.861
B,46,469122.5938,3153693.972
B,47,470622.5938,3154032.12
B,48,469017.5938,3153831.194
B,49,470802.5938,3153958.972
B,50,470307.5938,3153964.713
B,51,470112.5938,3153790.083
B,52,469452.5938,3153921.565
B,53,469572.5938,3153795.824
B,54,470367.5938,3153409.25
B,55,469917.5938,3153716.935
B,56,470427.5938,3153760.269
B,57,469302.5938,3153745.269
B,58,485982.5938,3153666.009
B,59,468897.5938,3153767.861
B,60,468732.5938,3153482.676
B,61,468687.5938,3153601.009
B,62,470517.5938,3153460.269
B,63,467427.5938,3153585.917
B,64,467502.5938,3153511.009
B,65,470202.5938,3153458.417
B,66,468627.5938,3153372.12
B,67,468987.5938,3153374.157
B,68,470232.5938,3153291.565
B,69,469962.5938,3153205.269
B,70,470517.5938,3153109.62
B,71,469767.5938,3153113.509
B,72,470322.5938,3152690.824
B,73,469857.5938,3152991.565
B,74,469107.5938,3152306.194
B,75,469122.5938,3152621.75
B,76,470502.5938,3152854.713
B,77,469947.5938,3152597.491
B,78,467652.5938,3152682.12
B,79,469332.5938,3152229.898
B,80,469827.5938,3152509.528
B,81,469737.5938,3152325.454
B,82,470937.5938,3152614.806
B,83,470142.5938,3152346.38
B,84,471582.5938,3152021.843
B,85,469512.5938,3152335.269
B,86,470952.5938,3152042.306
B,87,468942.5938,3152331.565
B,88,470232.5938,3151893.972
B,89,470382.5938,3152211.565
B,90,469107.5938,3152221.009
B,91,470082.5938,3152177.861
B,92,472092.5938,3152138.417
B,93,469977.5938,3151976.935
B,94,469767.5938,3152065.269
B,95,468732.5938,3151986.38
B,96,469632.5938,3152052.12
B,97,470487.5938,3151952.676
B,98,471402.5938,3151735.083
B,99,471117.5938,3151643.139
B,100,468387.5938,3151888.972
B,101,471717.5938,3151648.972
B,102,471987.5938,3151827.306
B,103,468312.5938,3151744.713
B,104,470622.5938,3150545.639
B,105,472002.5938,3151727.676
B,106,470967.5938,3151681.009
B,107,472437.5938,3151448.324
B,108,471897.5938,3151282.861
